source_id,canonical_id,canonical_type,source_severity,canonical_highest_severity,domain,source_report,source_section_lines,source_title,canonical_title
CP-011,CP-011,standalone,Medium,Medium,Concurrency and Performance,03_Concurrency_Performance.md,667-719,SwiftUI bodies materialize arrays during every library/queue evaluation,SwiftUI bodies materialize arrays during every library/queue evaluation
CP-012,CP-012,standalone,Low,Low,Concurrency and Performance,03_Concurrency_Performance.md,720-761,Optional diagnostics retain unbounded samples and start a no-op poller,Optional diagnostics retain unbounded samples and start a no-op poller
CP-013,CP-013,standalone,Low,Low,Concurrency and Performance,03_Concurrency_Performance.md,762-824,Deferred startup work is unowned and cancellation-blind,Deferred startup work is unowned and cancellation-blind
CP-014,CAN-011,merged,Medium,Medium,Concurrency and Performance,03_Concurrency_Performance.md,825-866,Pagination implements total count by fetching all models on every page,Every pagination request hydrates the full result set to compute an unused count
CP-015,CP-015,standalone,Medium,Medium,Concurrency and Performance,03_Concurrency_Performance.md,867-916,File Manager uses synchronous UI-context I/O and an uncancellable detached copy,File Manager uses synchronous UI-context I/O and an uncancellable detached copy
CP-016,CP-016,standalone,Medium,Medium,Concurrency and Performance,03_Concurrency_Performance.md,917-1007,Render paths rebuild formatters and full sort/filter results,Render paths rebuild formatters and full sort/filter results
DCA-ART-001,CAN-006,merged,Low,Medium,"Dead, Partial, and Artifacts",08_Dead_Partial_Artifacts.md,336-376,Fourteen machine/generated/backup artifacts are tracked despite ignore intent,"Tracked local, generated, user-state, log, and backup artifacts defeat repository hygiene"
DCA-DEAD-001,DCA-DEAD-001,standalone,Low,Low,"Dead, Partial, and Artifacts",08_Dead_Partial_Artifacts.md,105-130,Eighteen target-included files have no production consumer,Eighteen target-included files have no production consumer
DCA-DEAD-002,DCA-DEAD-002,standalone,Low,Low,"Dead, Partial, and Artifacts",08_Dead_Partial_Artifacts.md,131-194,Live files contain 61 manually retained unreferenced symbol roots,Live files contain 61 manually retained unreferenced symbol roots
DCA-DUP-001,DCA-DUP-001,standalone,Informational,Informational,"Dead, Partial, and Artifacts",08_Dead_Partial_Artifacts.md,398-459,Three app/widget shared-data contracts are manually duplicated,Three app/widget shared-data contracts are manually duplicated
DCA-PART-001,CAN-009,merged,Medium,High,"Dead, Partial, and Artifacts",08_Dead_Partial_Artifacts.md,195-227,Listening-session tracking is implemented but never configured,Listening-session tracking exists but is never wired into production
DCA-PART-002,CAN-023,merged,Medium,Medium,"Dead, Partial, and Artifacts",08_Dead_Partial_Artifacts.md,228-252,Persisted EQ is neither restored nor reapplied after engine creation/switch,Persisted EQ is not restored or reapplied across engine creation and switching
DCA-PART-003,DCA-PART-003,standalone,Low,Low,"Dead, Partial, and Artifacts",08_Dead_Partial_Artifacts.md,253-274,QueueCoordinator exposes three inert methods beside working manager APIs,QueueCoordinator exposes three inert methods beside working manager APIs
DCA-PART-004,DCA-PART-004,standalone,Low,Low,"Dead, Partial, and Artifacts",08_Dead_Partial_Artifacts.md,275-311,Smart-search result taps only log and never invoke playback,Smart-search result taps only log and never invoke playback
DCA-PART-005,CAN-016,merged,Medium,Medium,"Dead, Partial, and Artifacts",08_Dead_Partial_Artifacts.md,312-335,AudioKit diagnostics return fixed zero metrics while an empty collector is polled,Audio diagnostics report synthetic zero metrics while polling an empty collector
DCA-SAMPLE-001,DCA-SAMPLE-001,standalone,Low,Low,"Dead, Partial, and Artifacts",08_Dead_Partial_Artifacts.md,377-397,Three undocumented sample app fragments have no build container,Three undocumented sample app fragments have no build container
DLP-001,DLP-001,standalone,High,High,"Data, Library, and Persistence",02_Data_Library_Persistence.md,79-150,Persistent-store failure is masked by a normal-mode in-memory store,Persistent-store failure is masked by a normal-mode in-memory store
DLP-002,DLP-002,standalone,High,High,"Data, Library, and Persistence",02_Data_Library_Persistence.md,151-209,`ListeningSession` is absent from the schema that its actor uses,`ListeningSession` is absent from the schema that its actor uses
DLP-003,DLP-003,standalone,High,High,"Data, Library, and Persistence",02_Data_Library_Persistence.md,210-257,The declared migration plan is only a fallback after an unplanned open,The declared migration plan is only a fallback after an unplanned open
DLP-004,CAN-009,merged,High,High,"Data, Library, and Persistence",02_Data_Library_Persistence.md,258-297,Listening history is never wired into the production audio service,Listening-session tracking exists but is never wired into production
DLP-005,DLP-005,standalone,High,High,"Data, Library, and Persistence",02_Data_Library_Persistence.md,298-351,Import failure after copy leaks managed audio files,Import failure after copy leaks managed audio files
DLP-006,CAN-010,merged,Medium,High,"Data, Library, and Persistence",02_Data_Library_Persistence.md,352-406,Concurrent deduplication is not an atomic claim,Concurrent import deduplication has a check-to-insert race
DLP-007,DLP-007,standalone,High,High,"Data, Library, and Persistence",02_Data_Library_Persistence.md,407-452,Startup cleanup converts temporary unavailability into permanent library deletion,Startup cleanup converts temporary unavailability into permanent library deletion
DLP-008,DLP-008,standalone,Medium,Medium,"Data, Library, and Persistence",02_Data_Library_Persistence.md,453-496,ReplayGain metadata is extracted and then discarded,ReplayGain metadata is extracted and then discarded
DLP-009,DLP-009,standalone,Medium,Medium,"Data, Library, and Persistence",02_Data_Library_Persistence.md,497-561,Track/disc tuple parsing uses wrong offsets and drops parsed totals,Track/disc tuple parsing uses wrong offsets and drops parsed totals
DLP-010,DLP-010,standalone,Medium,Medium,"Data, Library, and Persistence",02_Data_Library_Persistence.md,562-605,The exposed playlist feature has no complete mutation path,The exposed playlist feature has no complete mutation path
DLP-011,DLP-011,standalone,Medium,Medium,"Data, Library, and Persistence",02_Data_Library_Persistence.md,606-653,Repository-backed library state is not refreshed after writes,Repository-backed library state is not refreshed after writes
DLP-012,CAN-011,merged,Medium,Medium,"Data, Library, and Persistence",02_Data_Library_Persistence.md,654-696,Pagination computes counts by hydrating every matching model on every page,Every pagination request hydrates the full result set to compute an unused count
DLP-013,DLP-013,standalone,Medium,Medium,"Data, Library, and Persistence",02_Data_Library_Persistence.md,697-735,Page mapping dereferences to-many relationships per album/artist,Page mapping dereferences to-many relationships per album/artist
DLP-014,DLP-014,standalone,Medium,Medium,"Data, Library, and Persistence",02_Data_Library_Persistence.md,736-780,Search bypasses the repository and silently truncates results,Search bypasses the repository and silently truncates results
DLP-015,DLP-015,standalone,Medium,Medium,"Data, Library, and Persistence",02_Data_Library_Persistence.md,781-833,Repeated recent searches create duplicate persistence rows and duplicate SwiftUI IDs,Repeated recent searches create duplicate persistence rows and duplicate SwiftUI IDs
DLP-016,CAN-017,merged,Medium,Medium,"Data, Library, and Persistence",02_Data_Library_Persistence.md,834-881,Widget state freezes progress and can remain “playing” after becoming stale,Widget synchronization is stale and poll-driven
DLP-017,DLP-017,standalone,Medium,Medium,"Data, Library, and Persistence",02_Data_Library_Persistence.md,882-929,Listening-session persistence has no retention bound,Listening-session persistence has no retention bound
DLP-018,DLP-018,standalone,Informational,Informational,"Data, Library, and Persistence",02_Data_Library_Persistence.md,930-964,Imported-audio backup policy is implicit and unverified,Imported-audio backup policy is implicit and unverified
DLP-019,CAN-012,merged,Medium,Medium,"Data, Library, and Persistence",02_Data_Library_Persistence.md,965-1028,Track transitions omit or race the replacement listening session,Listening-session replacement is unsequenced and can clear the new session
DLP-020,DLP-020,standalone,Medium,Medium,"Data, Library, and Persistence",02_Data_Library_Persistence.md,1029-1086,Playback position is mistaken for time actually listened,Playback position is mistaken for time actually listened
DLP-021,CAN-013,merged,Medium,High,"Data, Library, and Persistence",02_Data_Library_Persistence.md,1087-1173,Import cancellation is not propagated to the stream producer,Import cancellation does not propagate to AsyncStream producers
FMA-001,CAN-021,merged,Medium,Medium,Foundation Models,WP1_FOUNDATION_MODELS_REVIEW.md,62-130,A shared session can receive overlapping recommendation requests,Surprise Me lacks a single-flight gate for its shared model session and playback side effects
FMA-002,FMA-002,standalone,Medium,Medium,Foundation Models,WP1_FOUNDATION_MODELS_REVIEW.md,131-204,Generated track UUIDs are structurally typed but not checked against the offered set,Generated track UUIDs are structurally typed but not checked against the offered set
FMA-003,FMA-003,standalone,Medium,Medium,Foundation Models,WP1_FOUNDATION_MODELS_REVIEW.md,205-266,Canceled Smart Search work can be converted into a fallback result and overwrite newer state,Canceled Smart Search work can be converted into a fallback result and overwrite newer state
FMA-004,CAN-022,merged,Medium,High,Foundation Models,WP1_FOUNDATION_MODELS_REVIEW.md,267-324,"Availability, runtime asset loss, locale failure, and model errors collapse into booleans or generic fallback","Failures are collapsed into silence, false emptiness, or generic fallback states"
FMA-005,FMA-005,standalone,Medium,Medium,Foundation Models,WP1_FOUNDATION_MODELS_REVIEW.md,325-374,Smart Search’s documented standard-search fallback returns an empty AI result without handing off,Smart Search’s documented standard-search fallback returns an empty AI result without handing off
FMA-006,FMA-006,standalone,Low,Low,Foundation Models,WP1_FOUNDATION_MODELS_REVIEW.md,375-415,User queries and imported metadata are inserted into prompts without explicit untrusted-data boundaries,User queries and imported metadata are inserted into prompts without explicit untrusted-data boundaries
FMA-007,FMA-007,standalone,Medium,Medium,Foundation Models,WP1_FOUNDATION_MODELS_REVIEW.md,416-463,Tests do not deterministically exercise the live model path or its failure matrix,Tests do not deterministically exercise the live model path or its failure matrix
FMA-008,FMA-008,standalone,Medium,Medium,Foundation Models,WP1_FOUNDATION_MODELS_REVIEW.md,464-507,Initial Home rendering waits for a full model response,Initial Home rendering waits for a full model response
LOC-001,LOC-001,standalone,Medium,Medium,Accessibility and Localization,05_Accessibility_Localization.md,544-616,There is no localization resource pipeline despite extensive English UI and accessibility copy,There is no localization resource pipeline despite extensive English UI and accessibility copy
LOC-002,LOC-002,standalone,Medium,Medium,Accessibility and Localization,05_Accessibility_Localization.md,617-660,Count-bearing strings bypass plural rules,Count-bearing strings bypass plural rules
LOC-003,LOC-003,standalone,Medium,Medium,Accessibility and Localization,05_Accessibility_Localization.md,661-710,User-visible technical values bypass locale-aware number and measurement formatting,User-visible technical values bypass locale-aware number and measurement formatting
LOC-004,LOC-004,standalone,Medium,Medium,Accessibility and Localization,05_Accessibility_Localization.md,711-761,Precomposed metadata strings are not translator-reorderable for bidirectional layouts,Precomposed metadata strings are not translator-reorderable for bidirectional layouts
PCFG-001,CAN-001,merged,Critical,Critical,Project Configuration,06_Project_Configuration.md,97-146,Four plaintext credentials are committed in local tool configuration,Four live credentials and a sensitive local endpoint are committed
PCFG-002,CAN-002,merged,Critical,Critical,Project Configuration,06_Project_Configuration.md,147-240,App and widget lack required-reason privacy manifests despite direct covered API use,App and widget lack required-reason privacy manifests
PCFG-003,CAN-003,merged,High,High,Project Configuration,06_Project_Configuration.md,241-308,"CI selects Xcode 16.1 for an Xcode/iOS 26 project, and the Makefile overrides that selection",CI selects an impossible and internally conflicting iOS 26 toolchain
PCFG-004,CAN-004,merged,Medium,Medium,Project Configuration,06_Project_Configuration.md,309-342,No versioned shared scheme or test plan defines what CI builds and tests,No committed shared scheme or test plan defines the CI test action
PCFG-005,PCFG-005,standalone,Medium,Medium,Project Configuration,06_Project_Configuration.md,343-408,Dependency/tool resolution is only partly pinned and not enforced in CI,Dependency/tool resolution is only partly pinned and not enforced in CI
PCFG-006,PCFG-006,standalone,Medium,Medium,Project Configuration,06_Project_Configuration.md,409-445,A mode-160000 gitlink has no `.gitmodules` mapping or available object,A mode-160000 gitlink has no `.gitmodules` mapping or available object
PCFG-007,CAN-005,merged,Medium,Medium,Project Configuration,06_Project_Configuration.md,446-491,CI never builds/analyzes Release and has no distribution-signing verification contract,"Release, analyzer, archive, and distribution-signing behavior is not gated"
PCFG-008,CAN-006,merged,Medium,Medium,Project Configuration,06_Project_Configuration.md,492-545,"User-specific Xcode state, raw logs, a stale PBX backup, and local settings are tracked","Tracked local, generated, user-state, log, and backup artifacts defeat repository hygiene"
PCFG-009,PCFG-009,standalone,Low,Low,Project Configuration,06_Project_Configuration.md,546-577,SwiftLint excludes all widget and UI-test source,SwiftLint excludes all widget and UI-test source
PCFG-010,CAN-007,merged,Low,Low,Project Configuration,06_Project_Configuration.md,578-605,Info.plist advertises Live Activity support without an Activity configuration,Info.plist claims Live Activity support without an Activity configuration
PCFG-011,PCFG-011,standalone,Low,Low,Project Configuration,06_Project_Configuration.md,606-634,Widget asset build settings name color sets that do not exist in the widget target,Widget asset build settings name color sets that do not exist in the widget target
PCFG-012,CAN-008,merged,Low,Low,Project Configuration,06_Project_Configuration.md,635-713,"The app claims an unused APNs capability, increasing signing scope without product code",The app carries an unused APNs capability
PSR-001,CAN-001,merged,Critical,Critical,"Privacy, Security, and Release",07_Privacy_Security_Release.md,104-175,Four live credentials and a sensitive endpoint are committed in tracked local configuration,Four live credentials and a sensitive local endpoint are committed
PSR-002,CAN-002,merged,Critical,Critical,"Privacy, Security, and Release",07_Privacy_Security_Release.md,176-276,App and widget lack privacy manifests despite first-party Required Reason API use,App and widget lack required-reason privacy manifests
PSR-003,CAN-003,merged,High,High,"Privacy, Security, and Release",07_Privacy_Security_Release.md,277-325,CI cannot validate the current iOS 26 release toolchain,CI selects an impossible and internally conflicting iOS 26 toolchain
PSR-004,PSR-004,standalone,High,High,"Privacy, Security, and Release",07_Privacy_Security_Release.md,326-385,Release logging marks user library content and diagnostic details public,Release logging marks user library content and diagnostic details public
PSR-005,PSR-005,standalone,Medium,Medium,"Privacy, Security, and Release",07_Privacy_Security_Release.md,386-434,Imported audio files retain uncontrolled source protection metadata,Imported audio files retain uncontrolled source protection metadata
PSR-006,PSR-006,standalone,Medium,Medium,"Privacy, Security, and Release",07_Privacy_Security_Release.md,435-491,In-app privacy disclosure omits material local data and retention/deletion behavior,In-app privacy disclosure omits material local data and retention/deletion behavior
PSR-007,CAN-006,merged,Medium,Medium,"Privacy, Security, and Release",07_Privacy_Security_Release.md,492-544,"Local settings, build logs, Xcode user state, and a stale project backup are committed","Tracked local, generated, user-state, log, and backup artifacts defeat repository hygiene"
PSR-008,CAN-008,merged,Low,Low,"Privacy, Security, and Release",07_Privacy_Security_Release.md,545-575,The app claims APNs without a product implementation,The app carries an unused APNs capability
PSR-009,CAN-007,merged,Low,Low,"Privacy, Security, and Release",07_Privacy_Security_Release.md,576-605,Info.plist claims Live Activity support without an ActivityKit configuration,Info.plist claims Live Activity support without an Activity configuration
PSR-010,PSR-010,standalone,Informational,Informational,"Privacy, Security, and Release",07_Privacy_Security_Release.md,606-691,Export classification is not encoded and needs final-archive determination,Export classification is not encoded and needs final-archive determination
TRV-001,CAN-003,merged,High,High,Testing and Release Verification,09_Testing_Release_Verification.md,65-111,CI toolchain selection cannot satisfy the declared iOS 26 build,CI selects an impossible and internally conflicting iOS 26 toolchain
TRV-002,CAN-004,merged,Medium,Medium,Testing and Release Verification,09_Testing_Release_Verification.md,112-186,No shared scheme or test plan defines the release test action,No committed shared scheme or test plan defines the CI test action
TRV-003,TRV-003,standalone,Medium,Medium,Testing and Release Verification,09_Testing_Release_Verification.md,187-231,Unit and UI commands are indistinguishable aliases,Unit and UI commands are indistinguishable aliases
TRV-004,CAN-026,merged,Medium,Medium,Testing and Release Verification,09_Testing_Release_Verification.md,232-283,UI smoke tests skip or ignore missing core behavior,Missing prerequisites and behavior are converted into passing test skips
TRV-005,TRV-005,standalone,Medium,Medium,Testing and Release Verification,09_Testing_Release_Verification.md,284-358,Audio tests contain test theater and over-broad error assertions,Audio tests contain test theater and over-broad error assertions
TRV-006,TRV-006,standalone,Medium,Medium,Testing and Release Verification,09_Testing_Release_Verification.md,359-413,"“Integration” playback uses fake bytes, fake metadata, and a test-only controller","“Integration” playback uses fake bytes, fake metadata, and a test-only controller"
TRV-007,TRV-007,standalone,Informational,Informational,Testing and Release Verification,09_Testing_Release_Verification.md,414-461,Natural completion/gapless/crossfade output remains unverified,Natural completion/gapless/crossfade output remains unverified
TRV-008,TRV-008,standalone,Medium,Medium,Testing and Release Verification,09_Testing_Release_Verification.md,462-525,Real sleeps make async and timer tests scheduler-dependent,Real sleeps make async and timer tests scheduler-dependent
TRV-009,TRV-009,standalone,Medium,Medium,Testing and Release Verification,09_Testing_Release_Verification.md,526-583,Shared process/sandbox state breaks test isolation,Shared process/sandbox state breaks test isolation
TRV-010,TRV-010,standalone,Medium,Medium,Testing and Release Verification,09_Testing_Release_Verification.md,584-655,Persistent-store and migration behavior is not exercised,Persistent-store and migration behavior is not exercised
TRV-011,TRV-011,standalone,Medium,Medium,Testing and Release Verification,09_Testing_Release_Verification.md,656-696,Library scale/performance tests do not model production storage or establish stable metrics,Library scale/performance tests do not model production storage or establish stable metrics
TRV-012,CAN-020,merged,Informational,Informational,Testing and Release Verification,09_Testing_Release_Verification.md,697-735,Accessibility verification is absent,"Accessibility, Dynamic Type, locale, RTL, and widget behavior lack a real verification lane"
TRV-013,TRV-013,standalone,Informational,Informational,Testing and Release Verification,09_Testing_Release_Verification.md,736-772,Coverage gate is coarse and current evidence is not retained in the repository,Coverage gate is coarse and current evidence is not retained in the repository
TRV-014,CAN-005,merged,Medium,Medium,Testing and Release Verification,09_Testing_Release_Verification.md,773-814,Release configuration and release-only failure modes are not gated,"Release, analyzer, archive, and distribution-signing behavior is not gated"
TRV-015,CAN-026,merged,Medium,Medium,Testing and Release Verification,09_Testing_Release_Verification.md,815-857,Conditional skips are not a failing release signal,Missing prerequisites and behavior are converted into passing test skips
TRV-016,TRV-016,standalone,Medium,Medium,Testing and Release Verification,09_Testing_Release_Verification.md,858-954,No physical-device media acceptance lane covers the product's highest-risk behavior,No physical-device media acceptance lane covers the product's highest-risk behavior
UIUX-001,UIUX-001,standalone,High,High,UI and UX,04_UI_UX.md,49-108,The app-wide audio model is injected as an unobserved environment value,The app-wide audio model is injected as an unobserved environment value
UIUX-002,UIUX-002,standalone,High,High,UI and UX,04_UI_UX.md,109-161,"Now Playing duplicates authoritative shuffle, repeat, and speed state","Now Playing duplicates authoritative shuffle, repeat, and speed state"
UIUX-003,UIUX-003,standalone,Medium,Medium,UI and UX,04_UI_UX.md,162-199,"The mini player is always shown, including with no track","The mini player is always shown, including with no track"
UIUX-004,UIUX-004,standalone,Medium,Medium,UI and UX,04_UI_UX.md,200-244,The iOS 26 tab accessory never adapts to inline placement,The iOS 26 tab accessory never adapts to inline placement
UIUX-005,UIUX-005,standalone,Medium,Medium,UI and UX,04_UI_UX.md,245-285,Full-screen Now Playing has no visible dismissal control,Full-screen Now Playing has no visible dismissal control
UIUX-006,CAN-025,merged,Medium,Medium,UI and UX,04_UI_UX.md,286-334,Now Playing has no height-adaptive scrolling contract for landscape or large text,Now Playing lacks an adaptive scroll/layout contract for short heights and Dynamic Type
UIUX-007,CAN-015,merged,Medium,Medium,UI and UX,04_UI_UX.md,335-383,Sleep-timer ownership is transient and its volume baseline is hard-coded,Sleep-timer ownership is transient and fade volume starts from 1.0
UIUX-008,CAN-024,merged,High,High,UI and UX,04_UI_UX.md,384-439,Settings exposes inert controls/actions that do not change the claimed feature,Visible audio settings persist values but do not configure the active audio engine
UIUX-009,CAN-022,merged,High,High,UI and UX,04_UI_UX.md,440-506,Playback and browse failures are logged but surfaced as silence or false emptiness,"Failures are collapsed into silence, false emptiness, or generic fallback states"
UIUX-010,UIUX-010,standalone,High,High,UI and UX,04_UI_UX.md,507-581,Import progress is unobserved; picker errors are invisible; presentation depends on a race,Import progress is unobserved; picker errors are invisible; presentation depends on a race
UIUX-011,UIUX-011,standalone,Medium,Medium,UI and UX,04_UI_UX.md,582-626,Smart Search is effectively unreachable from the active Search states,Smart Search is effectively unreachable from the active Search states
UIUX-012,UIUX-012,standalone,Medium,Medium,UI and UX,04_UI_UX.md,627-682,Multiple browse affordances have no destination or action,Multiple browse affordances have no destination or action
UIUX-013,CAN-014,merged,Medium,Medium,UI and UX,04_UI_UX.md,683-745,Queue edit controls are undiscoverable and displayed offsets are translated incorrectly,Queue edit callbacks translate visible offsets to the wrong absolute indices
